"SCHOOL","STATE","CITY","NOC","PROGRAM","TYPE","DEPARTMENT","DELIVERY","DURATION","PREREQ","LINK","LOC_LAT","LOC_LONG"
"Northeastern University","Massachusetts","Boston",5,"Graduate Certificate in Data Analytics","C","College of Computer and Information Sciences","Online","4 credits","Not Available","http://www.northeastern.edu/data-analytics/data-science-certificate/",42.34,-71.0888
"Northeastern University","Massachusetts","Boston",5,"Graduate Certificate in Urban Informatics","C","Interdisciplinary","Hybrid","12 credit hours","statistics","http://www.northeastern.edu/data-analytics/admissions/",42.34,-71.0888
"Northeastern University","Massachusetts","Boston",5,"Master of Professional Studies in Informatics","M","College of Professional Studies","Online","45 credits","Not Available","http://www.northeastern.edu/data-analytics/data-science-certificate/",42.34,-71.0888
"Northeastern University","Massachusetts","Boston",5,"Master of Science in Health Informatics","M","College of Computer and Information Science","Campus","33 credits","Not Available","http://www.northeastern.edu/financialaid/studentaccounts/tuition.html#Graduate",42.34,-71.0888
"Northeastern University","Massachusetts","Boston",5,"MS in Urban Informatics","M","Interdisciplinary","Hybrid","32 credit hours","statistics","http://www.northeastern.edu/datascience/urban-informatics-certificate/",42.34,-71.0888
"University of Massachusetts Amherst","Massachusetts","Amherst",2,"Graduate Certificate in Business Analytics","C","College of Management","Online","18 Credits","Not Available","http://www.umassonline.net/degrees/graduate-certificate-business-analytics",42.3861,-72.5261
"University of Massachusetts Amherst","Massachusetts","Amherst",2,"Master of Science in Computer Science with Concentration in Data Science","M","College of Information and Computer Sciences","Campus","30 credits","computer science","http://www.umassonline.net/degrees/graduate-certificate-business-analytics",42.3861,-72.5261
"University of Massachusetts-Boston","Massachusetts","Boston",2,"Graduate Certificate in Business Analytics","C","College of Advancing & Professional Studies","Online","4 courses","Not Available","https://www.umb.edu/academics/caps/certificates/business_analytics",42.3145,-71.0387
"University of Massachusetts-Boston","Massachusetts","Boston",2,"Ph.D. in Business Administration - Information Systems for Data Science Track","M","College of Management","Campus","48 Credit Hours","math,computer science","https://www.umb.edu/academics/caps/certificates/business_analytics/admission",42.3145,-71.0387
"Worcester Polytechnic Institute","Massachusetts","Worcester",3,"Graduate Certificate in Data Science","C","Data Science","Campus","15 credits","Not Available","http://www.wpi.edu/academics/datascience/certificate-program.html",42.2751,-71.8088
"Worcester Polytechnic Institute","Massachusetts","Worcester",3,"Master of Science in Data Science","M","Data Science","Campus","33 credit hours","computer science, statistics, math","http://www.wpi.edu/academics/datascience/certificate-program.html",42.2751,-71.8088
"Worcester Polytechnic Institute","Massachusetts","Worcester",3,"Ph.D. in Data Science","M","College of Arts & Sciences","Campus","60 Credit Hours","technical bachelor's degree","http://www.wpi.edu/academics/datascience/certificate-program.html",42.2751,-71.8088
"Baker College","Michigan","Allen Park",1,"MBA in Business Intelligence","M","Baker College","Online","53 hours","Not Available","http://www.baker.edu/programs-degrees/business-intelligence-master-ba/",42.2745,-83.2032
"Central Michigan University","Michigan","Mount Pleasant",2,"Certificate in Data Mining","C","Department of Mathematics","Campus","18 Credits","Not Available","https://www.cmich.edu/colleges/cst/math/academic_programs/graduate/Pages/default.aspx",43.5911,-84.7753
"Central Michigan University","Michigan","Mount Pleasant",2,"Master of Science in Applied Statistics and Analytics","M","Department of Mathematics","Campus","36 Credits","Not Available","https://www.cmich.edu/colleges/cst/math/Pages/Graduate-Certificate-in-Data-Mining.aspx",43.5911,-84.7753
"Davenport University","Michigan","Grand Rapids",1,"Master of Science in Health Informatics and Information Management","M","College of Health Professions","Campus","36 credits","statistics, computer science","http://www.davenport.edu/college-health-professions/programs-and-degrees/master-science-informatics-and-information-",42.8497,-85.5297
"Eastern Michigan University","Michigan","Ypsilanti",2,"Enterprise Business Intelligence specialization in the Master of Business Administration (MBA)","M","College of Business; Computer Information Systems Department","Campus","36+ credits","Not Available","http://www.emich.edu/cob/departments_centers/computer_information_systems.php",42.2458,-83.6245
"Eastern Michigan University","Michigan","Ypsilanti",2,"Master of Arts in Applied Statistics","M","Department of Mathematics","Campus","31-34 graduate hours","math, statistics","http://www.emich.edu/cob/mba/requirements/index.php",42.2458,-83.6245
"Grand Valley State University","Michigan","Allendale",1,"Master of Science in Biostatistics","M","College of Liberal Arts and Sciences","Campus","36 credit hours","Not Available","http://catalog.gvsu.edu/preview_program.php?catoid=38&poid=5264&hl=%22master+of+science+in+biostatistics%22&returnto=search",42.9652,-85.8875
"Michigan State University","Michigan","East Lansing",2,"M.S. - Business Analytics","M","Broad College of Business","Campus","31.5 credit hours","Not Available","http://broad.msu.edu/businessanalytics/",42.7248,-84.4736
"Michigan State University","Michigan","East Lansing",2,"Master of Science in Applied Statistics","M","Department of Statistics and Probability (College of Natural Sciences)","Campus","33 credits","math, statistics","http://accounting.broad.msu.edu/welcome/ms-business-analytics/admission-requirements/",42.7248,-84.4736
"Oakland University","Michigan","Rochester Hills",2,"Master of Science in Information Technology Management in Business Analytics","M","School of Business Administration","Hybrid","30 credit hours/1 year","Not Available","http://www.oakland.edu/MSITM-BA",42.6726,-83.2189
"Oakland University","Michigan","Rochester Hills",2,"MS in Applied Statistics","M","Department of Mathematics and Statistics","Campus","36 credits","math, statistics, computer science","http://wwwp.oakland.edu/business/graduate-executive-programs/msitm/",42.6726,-83.2189
"University of Michigan-Ann Arbor","Michigan","Ann Arbor",1,"Graduate Data Science (DS) Certificate Program","C","Trans-Disciplinary","Campus","12 credit hours","Not Available","http://midas.umich.edu/certificate/",42.2762,-83.7431
"University of Michigan-Dearborn","Michigan","Dearborn",1,"Master of Science in Business Analytics","M","College of Business","Campus","30 credits","Not Available","http://umdearborn.edu/cob/ms-business-analytics/",42.3173,-83.2314
"Capella University","Minnesota","Minneapolis",3,"Graduate Certificate in Business Intelligence","C","School of Business and Technology","Online","15 credits","Not Available","http://www.capella.edu/online-degrees/certificate-business-intelligence/",44.9762,-93.2687
"Capella University","Minnesota","Minneapolis",3,"Master of Science in Analytics","M","School of Business and Technology","Online","48 Credits","technical bachelor's degree","http://www.capella.edu/online-degrees/certificate-business-intelligence/admission-requirements/",44.9762,-93.2687
"Capella University","Minnesota","Minneapolis",3,"MBA in Business Intelligence","M","School of Business & Technology","Online","48 credits","Not Available","http://www.capella.edu/online-degrees/certificate-business-intelligence/courses/",44.9762,-93.2687
"Saint Mary's University of Minnesota","Minnesota","Winona",1,"Online Accelerated MBA - Data Analytics","M","Graduate School","Online","30 credit hours","Not Available","http://onlineprograms.smumn.edu/mba/accelerated-online-mba",44.0453,-91.6967
"The College of Saint Scholastica","Minnesota","Duluth",1,"M.S. Health Informatics","M","Health Informatics Program","Online","46 credits","statistics","http://www.css.edu/Graduate/Masters-Doctoral-and-Professional-Programs/Areas-of-Study/MS-Health-Informatics/Curriculum.html?ss=print",46.8154,-92.1057
"University of Minnesota-Twin Cities","Minnesota","Minneapolis",3,"Master of Science in Business Analytics (MSBA) - full-time","M","Carlson School of Management","Campus","45 credits, 1 year","math","http://carlsonschool.umn.edu/degrees/master-science-in-business-analytics",44.9779,-93.2354
"University of Minnesota-Twin Cities","Minnesota","Minneapolis",3,"Master of Science in Business Analytics (MSBA) - part-time","M","Carlson School of Management","Campus","45 credits, 3 years","math","http://carlsonschool.umn.edu/degrees/master-science-in-business-analytics/admissions",44.9779,-93.2354
"University of Minnesota-Twin Cities","Minnesota","Minneapolis",3,"Master's of Science in Data Science","M","College of Science & Engineering, College of Liberal Arts , and School of Public Health","Campus","31 Credits","technical bachelor's degree, math, statistics, computer science","http://carlsonschool.umn.edu/degrees/master-science-in-business-analytics",44.9779,-93.2354
"University of St. Thomas","Minnesota","Saint Paul",1,"M.S. in Data Science","M","Graduate Programs in Software","Campus","12 courses","Not Available","http://www.stthomas.edu/gradsoftware/programs/msdatascience/default.html",44.9417,-93.1894
"Grantham University","Missouri","Kansas City",1,"Master of Science in Business Intelligence","M","Business","Online","36 credit hours","Not Available","http://rmi.grantham.edu/programs/master-of-science-in-business-intelligence",38.9233,-94.7716
"Missouri University of Science and Technology","Missouri","Rolla",1,"Graduate Certificate in Business Analytics and Data Science","C","Department of Business and Information Technology","Online","12 credit hours","Not Available","http://dce.mst.edu/credit/certificates/businessanalyticsanddatascience/",37.9559,-91.7759
"Rockhurst University","Missouri","Kansas City",3,"Data Science and Business Analytics Certificate","C","Helzburg School of Management","Campus","12 credit hours","statistics","http://www.rockhurst.edu/media/filer_private/2013/12/06/helzberg_ds_certificates_w-course_descriptions.pdf",39.0308,-94.5713
"Rockhurst University","Missouri","Kansas City",3,"Data Science and Business Intelligence Certificate","C","Helzberg School of Management","Campus","12 credits","Not Available","http://dobyobktvl6u3.cloudfront.net/media/filer_private/2014/09/22/helzberg_datascience.pdf",39.0308,-94.5713
"Rockhurst University","Missouri","Kansas City",3,"MS in Business Intelligence and Analytics","M","Helzberg School of Management","Campus","30 credit hours","Not Available","http://www.rockhurst.edu/media/filer_private/2013/12/06/helzberg_ds_certificates_w-course_descriptions.pdf",39.0308,-94.5713
"Saint Louis University-Main Campus","Missouri","Saint Louis",1,"Applied Analytics Master's Degree","M","School for Professional Studies","Online","39 credits","computer science, statistics","http://www.slu.edu/school-for-professional-studies-home/majors-and-programs/masters-degree-programs/ms-in-applied-analytics",38.6345,-90.2338
"University of Missouri-Columbia","Missouri","Columbia",1,"Master of Science in Data and Analytics","M","School of Information Science and Learning Technologies, Computer Science Department","Online","34 credits","Not Available","http://dsa.missouri.edu/",38.941,-92.3264
"University of Missouri-St Louis","Missouri","Saint Louis",1,"Graduate Certificate in Business Intelligence","C","Information Systems Department","Campus","18 hours","Not Available","http://mis.umsl.edu/M.S.%20in%20I.S./BICertificate.html",38.7113,-90.3089
"Washington University in St Louis","Missouri","Saint Louis",1,"Master of Science in Customer Analytics","M","Olin Business School","Campus","39 Credits","math, statistics","https://olin.wustl.edu/EN-US/academic-programs/specialized-masters-programs/ms-in-customer-analytics/Pages/default.aspx",38.6481,-90.3116
"The University of Montana","Montana","Missoula",1,"Master of Business Analytics","M","School of Business Administration","Campus","32 Credits","Not Available","http://www.business.umt.edu/programs/graduate/msba-program/default.php",46.8611,-113.983
"Bellevue University","Nebraska","Bellevue",2,"Master of Professional Science in Technology Innovation with Focus in Bioinformatics","M","College of Science and Technology","Online","40 credit hours/18 months","Not Available","http://www.bellevue.edu/degrees/graduate/innovation-entrepreneurship-mps/major-requirements.aspx",41.1502,-95.9176
"Bellevue University","Nebraska","Bellevue",2,"Master of Science-Business Analytics","M","College of Science and Technology","Online","36 credit hours","Not Available","http://www.bellevue.edu/degrees/master/innovation-entrepreneurship-mps/#",41.1502,-95.9176
"Creighton University","Nebraska","Omaha",2,"Master of Science in Business Intelligence and Analytics (MS-BIA)","M","Heider College of Business","Campus","33 credit hours","Not Available","http://business.creighton.edu/graduate/graduate-programs/master-science-business-intelligence-and-analytics-ms-bia",41.2653,-95.947
"Creighton University","Nebraska","Omaha",2,"Master of Science in Data Science","M","College of Professional Studies","Campus","27 units","Not Available","https://business.creighton.edu/graduate/be-heider-graduate-student",41.2653,-95.947
"University of Nebraska-Lincoln","Nebraska","Lincoln",1,"Business Analytics Graduate Certificate","C","College of Business Administration","Online","12 credits","statistics","http://cba.unl.edu/academic-programs/programs-and-degrees/business-analytics/",40.8223,-96.7022
"Southern New Hampshire University","New Hampshire","Manchester",3,"Master of Science in Data Analytics","M","Graduate","Online","36 credit hours","Not Available","http://www.snhu.edu/online-degrees/graduate-degrees/data-analytics-ms-online/careers.asp",43.0399,-71.4539
"Southern New Hampshire University","New Hampshire","Manchester",3,"MBA in Business Intelligence","M","Not Available","Online","39 credits","Not Available","http://www.snhu.edu/online-degrees/masters/ms-in-data-analytics",43.0399,-71.4539
"Southern New Hampshire University","New Hampshire","Manchester",3,"MS in Information Technology - Data Analysis","M","School for Professional Studies","Online","36 credits minimum","Not Available","http://www.snhu.edu/online-degrees/graduate-degrees/data-analytics-ms-online/curriculum.asp",43.0399,-71.4539
"University of New Hampshire-Main Campus","New Hampshire","Durham",2,"Graduate Certificate in Analytics","C","Graduate School","Campus","3 months","Not Available","http://www.unh.edu/analytics/graduate-certificate-analytics",43.1342,-70.9345
"University of New Hampshire-Main Campus","New Hampshire","Durham",2,"Master of Science in Analytics","M","Graduate School","Campus","36 credits","statistics","http://www.unh.edu/analytics/admissions",43.1342,-70.9345
"New Jersey Institute of Technology","New Jersey","Newark",2,"Graduate Certificate in Data Mining","C","Department of Computer Science","Online","12 credits","computer science, statistics, math","https://adultlearner.njit.edu/programs/datamining-cert.php",40.742,-74.1771
"New Jersey Institute of Technology","New Jersey","Newark",2,"MS in Applied Statistics","M","Department of Mathematical Sciences","Campus","30 credits","math","http://adultlearner.njit.edu/professionaldevelopment/",40.742,-74.1771
"Rutgers University","New Jersey","Camden",5,"Master of Business & Science (MBS), Concentration in Drug Discovery & Development","M","Professional Science Master's Program","Online","2 years","Not Available","http://mbs.rutgers.edu/programs/drug-discovery-development-onlinehybrid",39.9486,-75.1253
"Rutgers University","New Jersey","Camden",5,"Master of Business And Science Degree in Analytics - Discovery Informatics & Data Sciences","M","Division of Continuous Education and Outreach","Hybrid","42 credit hours","math","http://mbs.rutgers.edu/how-apply-admission-requirements",39.9486,-75.1253
"Rutgers University","New Jersey","Camden",5,"Master of Information","M","School of Communication and Information","Online","36 credits","Not Available","http://mbs.rutgers.edu/programs/drug-discovery-development-onlinehybrid",39.9486,-75.1253
"Rutgers University","New Jersey","Camden",5,"MBA with Analytics and Information Management Concentration","M","Rutgers Business School","Campus","60+ credits (Concentration comprises at least 15 c","Not Available","http://mbs.rutgers.edu/tuition-financing",39.9486,-75.1253
"Rutgers University","New Jersey","Camden",5,"Post MBA Certificate in Analytics and Information Management","C","Rutgers Business School","Campus","15 credits","Not Available","http://psm.rutgers.edu/programs/analytics-data-sciences",39.9486,-75.1253
"Saint Peter's University","New Jersey","Jersey City",1,"Master of Science in Data Science with a concentration in Business Analytics","M","Saint Peter's University","Campus","12 courses / 36 credits","Not Available","http://www.saintpeters.edu/data-science-and-business-analytics/",40.7271,-74.0715
"Stevens Institute of Technology","New Jersey","Hoboken",3,"BI&A Graduate Certificate","C","Wesley J. Howe School of Technology Management","Online","12 credits","Not Available","https://www.stevens.edu/school-business/masters-programs/graduate-certificates/business-intelligence-analytics",40.7448,-74.0253
"Stevens Institute of Technology","New Jersey","Hoboken",3,"Master of Science in Information Systems","M","Wesley J. Howe School of Technology Management","Campus","36 units","Not Available","https://www.stevens.edu/admissions/graduate-admissions/application-process",40.7448,-74.0253
"Stevens Institute of Technology","New Jersey","Hoboken",3,"MS in Business Intelligence and Analytics","M","Graduate School","Campus","36 credit hours","technical bachelor's degree","https://www.stevens.edu/school-business/masters-programs/graduate-certificates/business-intelligence-analytics",40.7448,-74.0253
"Thomas Edison State University","New Jersey","Trenton",1,"MBA in Data Analytics","M","School of Business & Management","Online","18 months","statistics, math, economics","http://www.tesu.edu/business/mba/Data-Analytics.cfm",40.2201,-74.7697
"New Mexico State University-Main Campus","New Mexico","Las Cruces",1,"Master of Science in Applied Statistics","M","Economics, Applied Statistics and International Business","Campus","35 semester credits","math","http://business.nmsu.edu/academics/graduate-programs/ms-astat/",32.2829,-106.748
"University of Phoenix","New Mexico","Albuquerque",2,"Graduate Certificate in Business Analytics","C","College of Information Systems and Technology","Online","18 credits","Not Available","http://www.phoenix.edu/programs/continuing-education/certificate-programs/technology/cert-g-ba.pdf",35.1971,-106.585
"University of Phoenix","New Mexico","Albuquerque",2,"Master of Information Systems with a Graduate Business Analytics Certificate","C","College of Information Systems and Technology","Online","42 credits","Not Available","http://www.phoenix.edu/admissions/admission_requirements.html",35.1971,-106.585
"Syracuse University","New York","Syracuse",3,"Master of Science in Business Analytics","M","Whitman School of Management","Online","18 months","Not Available","https://requestinfo.onlinebusiness.syr.edu/analytics.html",43.0405,-76.1367
"Syracuse University","New York","Syracuse",3,"Online Master of Science in Information Management","M","School of Information Studies","Online","30-42 credits","Not Available","https://onlinebusiness.syr.edu/admissions/overview/requirements/",43.0405,-76.1367
"Syracuse University","New York","Syracuse",3,"Certificate of Advanced Study in Data Science","C","School of Information Studies","Online","15 credits","Not Available","https://requestinfo.onlinebusiness.syr.edu/analytics.html",43.0405,-76.1367
"Clarkson University","New York","Potsdam",1,"Master of Science in Healthcare Data Analytics","M","School of Management","Online","1 year/12 course program","Not Available","http://www.uniongraduatecollege.edu/management/MS-Healthcare.aspx",44.6638,-74.9999
"Columbia University in the City of New York","New York","New York",3,"Master of Science in Applied Analytics","M","School of Professional Studies","Campus or Online","36 Credits","Not Available","http://sps.columbia.edu/applied-analytics/master-of-science-in-applied-analytics",40.8083,-73.9619
"Columbia University in the City of New York","New York","New York",3,"Masters of Science in Computer Science, concentration in Machine Learning","M","Fu Foundation School of Engineering and Applied Science","Campus","30 points","technical bachelor's degree","http://sps.columbia.edu/applied-analytics/master-of-science-in-applied-analytics/admissions/apply",40.8083,-73.9619
"Columbia University in the City of New York","New York","New York",3,"MS - Masters in Data Science","M","Institute for Data Sciences and Engineering","Campus","30 credit hours","computer science, math","http://sps.columbia.edu/applied-analytics/master-of-science-in-applied-analytics/curriculum",40.8083,-73.9619
"Cornell University","New York","Ithaca",1,"Master of Professional Studies (MPS) in Applied Statistics (Option II: Data Science)","M","Department of Statistical Science","Campus","2 semesters","technical bachelor's degree","http://stat.cornell.edu/academics/mps",42.4453,-76.4827
"CUNY Bernard M Baruch College","New York","New York",1,"Advanced Certificate in Business Analytics of Large-Scale Data","C","School of Business","Campus","15 hours/credits","math, statistics","http://www.csi.cuny.edu/catalog/graduate/advanced-certificate-in-business-analytics-of-large-scale-data.htm",40.7402,-73.9834
"CUNY Graduate School and University Center","New York","New York",1,"Online Master of Science in Data Analytics","M","CUNY School of Professional Studies","Online","36 credit hours","statistics, math, computer science","https://sps.cuny.edu/academics/graduate/master-science-data-analytics-ms",40.7485,-73.9836
"CUNY Queens College","New York","Flushing",1,"MA in Data Analytics & Applied Social Research","M","Sociology Department","Campus","35 credits","computer science","http://qcbigdata.com/program/",40.7378,-73.8154
"Fordham University","New York","Bronx",2,"Master of Science in Business Analytics","M","Graduate School of Business","Campus","30 credit hours/1 year","Not Available","http://www.bnet.fordham.edu/academic_bulletin/2015/ms/MS_Business_Analytics/index.asp",40.8612,-73.8896
"Fordham University","New York","Bronx",2,"Master's in Data Analytics","M","Department of Computer & Information Science","Campus","30 credits","Not Available","http://www.bnet.fordham.edu/academic_bulletin/2015/admissions_enrollment/Degree_Program_Admissions/index.asp",40.8612,-73.8896
"Manhattan College","New York","Riverdale",1,"M.S. in Applied Mathematics - Data Analytics","M","School of Science","Campus","30 credits","Not Available","http://manhattan.edu/academics/science/math/graduate-programs",40.8898,-73.9019
"Marist College","New York","Poughkeepsie",1,"Advanced Certificate in Business Analytics","C","School of Computer Science and Mathematics","Online","12 credits","Not Available","http://www.marist.edu/admission/graduate/business-analytics/",41.722,-73.9343
"New York University","New York","New York",9,"Advanced Certificate in Applied Urban Science and Informatics","C","Center for Urban Science & Progress","Campus","12 credits","math, statistic, computer science","http://cusp.nyu.edu/advanced-certificate-in-applied-urban-science-and-informatics/",40.7295,-73.9973
"New York University","New York","New York",9,"Advanced Diploma in Healthcare Informatics","M","School of Professional Studies: Health and Care Programs","Blended","13.5 Continuing Education Units","Not Available","http://cusp.nyu.edu/admissions-requirements-and-deadlines-2/",40.7295,-73.9973
"New York University","New York","New York",9,"Master of Science in Applied Statistics for Social Science Research","M","Steinhardt School of Culture, Education, and Human Development: D","Campus","34-46 credits","statistics","http://cusp.nyu.edu/curriculum-2/",40.7295,-73.9973
"New York University","New York","New York",9,"Master of Science in Business Analytics","M","Stern School of Business","Campus","12 months","Not Available","http://cusp.nyu.edu/financial-aid-and-tuition-2/",40.7295,-73.9973
"New York University","New York","New York",9,"Master of Science in Data Science","M","NYU Center for Data Science","Campus","36 credit hours/2 years","computer science, math","http://www.scps.nyu.edu/academics/departments/health-information-management/advanced-diploma-in-healthcare-informatics-for-clinicians.html",40.7295,-73.9973
"New York University","New York","New York",9,"Master of Science in Information Systems","M","Computer Science Department","Campus","39 units","computer science","https://www.sps.nyu.edu/professional-pathways/diplomas/advanced-diploma/healthcare-informatics-for-clinicians.html",40.7295,-73.9973
"New York University","New York","New York",9,"MBA, Specialization in Business Analytics","M","Stern School of Business","Campus","2 years","Not Available","http://www.scps.nyu.edu/academics/departments/health-information-management/advanced-diploma-in-healthcare-informatics-for-clinicians.html",40.7295,-73.9973
"New York University","New York","New York",9,"MS in Applied Urban Science and Informatics","M","Center for Urban Science & Progress","Campus","30 credits","math, statistic, computer science","http://www.scps.nyu.edu/academics/departments/health-information-management/advanced-diploma-in-healthcare-informatics-for-clinicians.html",40.7295,-73.9973
"New York University","New York","New York",9,"Ph.D. in Computer Science with Specialization in Visualization, Databases and Big Data","M","Tandon School of Engineering","Campus","75 Credit Hours","technical bachelor's degree","http://steinhardt.nyu.edu/graduate_admissions/guide/assr/ms",40.7295,-73.9973
"Pace University-New York","New York","New York",2,"Master of Science in Information Systems","M","Seidenberg School of Computer Science and Information Systems","Campus","30 units","Not Available","http://www.pace.edu/academics/graduate-students/degrees/information-systems-ms",40.711,-74.0047
"Pace University-New York","New York","New York",2,"MS in Customer Intelligence and Analytics","M","Lubin School of Business","Campus","30 credit hours","Not Available","http://www.pace.edu/admission-aid/graduate-admission/application-process",40.711,-74.0047
"Rensselaer Polytechnic Institute","New York","Troy",2,"M.S. in Information Technology - Concentration in Data Science and Analytics","M","Department of Information Technology & Web Science","Campus","2 terms","computer science","https://www.rpi.edu/dept/IT/graduate/Masters.html",42.729,-73.6788
"Rensselaer Polytechnic Institute","New York","Troy",2,"MS in Business Analytics","M","Lally School of Management","Campus","30 credit hours/1 year","Not Available","https://www.rpi.edu/dept/IT/graduate/admissions.html",42.729,-73.6788
"Rochester Institute of Technology","New York","Rochester",3,"Advanced Certificate in Applied Statistics","C","College of Science","Campus or Online","12 Credits","math, statistics","https://www.rit.edu/programs/applied-statistics-adv-cert",43.0903,-77.6752
"Rochester Institute of Technology","New York","Rochester",3,"Advanced Certificate in Big Data Analytics","C","College of Computing and Information Sciences","Campus","12 Credits","technical bachelor's degree, statistics, computer science","https://www.rit.edu/programs/applied-statistics-adv-cert",43.0903,-77.6752
"Rochester Institute of Technology","New York","Rochester",3,"Master of Science in Applied Statistics","M","College of Science","Campus or Online","30 Credits","math, statistics","https://www.rit.edu/programs/applied-statistics-adv-cert",43.0903,-77.6752
"St. John's University-New York","New York","Queens",1,"Master of Science in Data Mining and Predictive Analytics","M","Department of Computer Science, Mathematics, and Science","Campus","30 credits","math, statistics","http://www.stjohns.edu/academics/schools-and-colleges/college-professional-studies/programs-and-majors/data-mining-and-predictive-analytics-master-science",40.722,-73.7953
"The New School","New York","New York",1,"Data Visualization (MS)","M","School of Art, Media & Technology","Campus","1 year (full-time) or 2 years (part-time)","Not Available","http://www.newschool.edu/parsons/ms-data-visualization/",40.7353,-73.9946
"Trocaire College","New York","Buffalo",1,"Certificate in Healthcare Informatics","C","Healthcare Informatics","Campus","36 credits","math, biology","https://www.trocaire.edu/academics/healthcare-informatics/healthcare-informatics-certificate",42.8466,-78.8126
"University at Buffalo","New York","Buffalo",1,"Master of Science (MS) in Management Science: Business Analytics and Systems from the State University of New York at Buffalo and a Master of Business","M","University at Buffalo School of Management and Amrita University","Campus","31 credits","Not Available","http://mgt.buffalo.edu/degree-programs/abroad/business-analytics-amrita.html",43.0014,-78.7901
"University of Rochester","New York","Rochester",4,"MA and MS in Medical Statistics","M","Department of Biostatistics and Computational Biology","Campus","32 credits","statistics, math","http://www.urmc.rochester.edu/education/graduate/phd/statistics/",43.1264,-77.631
"University of Rochester","New York","Rochester",4,"Master of Science in Data Science","M","Institute for Data Science","Campus","1 year / 30 credits","math","http://www.simon.rochester.edu/programs/full-time-ms/admissions/apply-now/application-instructions/index.aspx",43.1264,-77.631
"University of Rochester","New York","Rochester",4,"MS in Business Analytics","M","Simon School of Business","Campus","1 year","Not Available","http://www.urmc.rochester.edu/education/graduate/phd/statistics/program/MSMedicalStatistics.cfm",43.1264,-77.631
"University of Rochester","New York","Rochester",4,"Professional MS in Computer Science (Concentration in Data Analytics)","M","Department of Computer Science","Campus","1 year","Not Available","http://www.urmc.rochester.edu/education/financial-aid/graduate-students.cfm",43.1264,-77.631
"Duke University","North Carolina","Durham",1,"Master of Quantitative Management","M","Fuqua School of Business","Campus","10 Months","technical bachelor's degree","http://www.fuqua.duke.edu/master-quantitative-management/",36.0016,-78.9423
"North Carolina State University at Raleigh","North Carolina","Raleigh",1,"Master of Science in Analytics","M","Institute for Advanced Analytics","Campus","30 credit hours/10 months","math, statistics","http://analytics.ncsu.edu/",35.7851,-78.6745
"University of North Carolina at Chapel Hill","North Carolina","Chapel Hill",1,"Graduate Certificate in Public Health Informatics","C","Gillings School of Global Public Health and School of Information and Library Science","Campus","12 credit hours","Not Available","http://sph.unc.edu/hpm/hpm-degrees-and-certificates/hpm-phi-overview/",35.9122,-79.051
"University of North Carolina at Charlotte","North Carolina","Charlotte",4,"Graduate Certificate in Data Science and Business Analytics","C","College of Computing and Informatics and the Belk College of Business","Campus","15 credit hours","math, statistics","http://analytics.uncc.edu/graduate-certificate",35.3068,-80.7358
"University of North Carolina at Charlotte","North Carolina","Charlotte",4,"Graduate Certificate in Health Informatics","C","College of Computing and Informatics, College of Health and Human Serv","Campus","15 credits","Not Available","http://analytics.uncc.edu/graduate-certificate",35.3068,-80.7358
"University of North Carolina at Charlotte","North Carolina","Charlotte",4,"M.S. in Mathematics with Concentration in Applied Statistics","M","Department of Mathematics and Statistics","Campus","33 semester hours","math, statistics, computer science","http://analytics.uncc.edu/graduate-certificate/course-map",35.3068,-80.7358
"University of North Carolina at Charlotte","North Carolina","Charlotte",4,"Professional Science Master's (PSM) in Data Science and Business Analytics (DSBA)","M","The Graduate School","Campus","33 credit hours","math, statistics","http://analytics.uncc.edu/admissions/tuition-and-fees",35.3068,-80.7358
"University of North Carolina at Greensboro","North Carolina","Greensboro",1,"Graduate Certificate in Business Analytics","C","UNCG Bryan School of Business and Economics","Online","15 credit hours","Not Available","http://bae.uncg.edu/isscm/graduate/certificates/graduate-certificate-in-business-analytics-2/",36.0675,-79.8098
"Bowling Green State University","Ohio","Bowling Green",2,"M.S. in Analytics","M","Graduate College","Campus","33 credit hours/12 months","Not Available","http://www.bgsu.edu/graduate/analytics.html",41.377,-83.6375
"Bowling Green State University","Ohio","Bowling Green",2,"Master of Science in Applied Statistics (specialization in Business Analytics)","M","Department of Applied Statistics & Operations Research/Department of Mathematics","Campus","33-39 credit hours","Not Available","http://www.bgsu.edu/graduate/analytics.html",41.377,-83.6375
"Case Western Reserve University","Ohio","Cleveland",1,"MSM - Business Analytics","M","Weatherhead School of Management","Campus","33 credit hours","Not Available","https://weatherhead.case.edu/degrees/masters/ms-management/business-analytics/",41.5008,-81.6058
"Cleveland State University","Ohio","Cleveland",2,"Graduate Certificate in Advanced Business Analytics","C","Monte Ahuja College of Business","Campus","12-13 credits","statistics","http://www.csuohio.edu/business/academics/business-analytics-graduate-certificate-programs",41.5029,-81.673
"Cleveland State University","Ohio","Cleveland",2,"Graduate Certificate in Strategic Business Analytics","C","Monte Ahuja College of Business","Campus","12-13 credits","statistics","http://www.csuohio.edu/graduate-admissions/how-apply",41.5029,-81.673
"Ohio State University-Main Campus","Ohio","Columbus",2,"Master of Applied Statistics","M","Department of Statistics","Campus","50 hours of coursework minimum","math","http://www.stat.osu.edu/dept/descriptions-programs/master-applied-statistics/quarters",39.9984,-83.009
"Ohio State University-Main Campus","Ohio","Columbus",2,"Master of Public Health in Biomedical Informatics","M","College of Medicine","Campus","48 credit hours","Not Available","http://gpadmissions.osu.edu/grad/admissions.html",39.9984,-83.009
