"SCHOOL","STATE","CITY","NOC","PROGRAM","TYPE","DEPARTMENT","DELIVERY","DURATION","PREREQ","LINK","LOC_LAT","LOC_LONG"
"Elmhurst College","Illinois","Elmhurst",3,"Graduate Certificate in Data Science","C","Elmhurst College Online Center","Online","15 semester hours","statistics, computer science","http://public.elmhurst.edu/data_science/227880201.html",41.8992,-87.9461
"Elmhurst College","Illinois","Elmhurst",3,"M.S. in Data Science","M","Elmhurst College Online Center","Online","2 years","statistics, computer science","http://www.elmhurst.edu/data_science/227880971.html",41.8992,-87.9461
"Elmhurst College","Illinois","Elmhurst",3,"Master in Health Informatics","M","School for Professional Studies","Online","28 months","Not Available","http://public.elmhurst.edu/data_science/227876081.html",41.8992,-87.9461
"Illinois Institute of Technology","Illinois","Chicago",2,"Master of Data Science","M","College of Science","Online","33 credit hours","computer science, statistics","http://science.iit.edu/programs/graduate/master-data-science",41.8338,-87.6283
"Illinois Institute of Technology","Illinois","Chicago",2,"MS - CS specialization in Data Analytics (with co-terminal BS/MS option)","M","College of Science","Campus","30 credit hours","computer science","http://science.iit.edu/programs/professional-masters/master-data-science/master-data-science-frequently-asked-questions",41.8338,-87.6283
"Loyola University Chicago","Illinois","Chicago",2,"Graduate Certificate in Business Intelligence and Data Warehousing","C","Quinlan School of Business","Campus","15 credits","Not Available","http://www.luc.edu/quinlan/mba/academics/certificates-data-warehousing/",41.9992,-87.6574
"Loyola University Chicago","Illinois","Chicago",2,"M.S. in Applied Statistics","M","Mathematics and Statistics","Campus","29 credits","math, statistics","http://www.luc.edu/quinlan/certificates/index.shtml",41.9992,-87.6574
"Northwestern University","Illinois","Evanston",5,"Certificate in Analytics and Business Intelligence for IT Professionals","C","School of Professional Studies","Online","4 courses","Not Available","http://sps.northwestern.edu/program-areas/advanced-graduate/analytics-business-intelligence/index.php",42.0584,-87.6737
"Northwestern University","Illinois","Evanston",5,"Certificate in Predictive Business Analytics","C","Bridge School of Management","Campus","Four courses","Not Available","http://sps.northwestern.edu/program-areas/advanced-graduate/analytics-business-intelligence/admission.php",42.0584,-87.6737
"Northwestern University","Illinois","Evanston",5,"Master of Science in Analytics","M","McCormick School of Engineering","Campus","15 months","Not Available","http://sps.northwestern.edu/program-areas/advanced-graduate/analytics-business-intelligence/index.php",42.0584,-87.6737
"Northwestern University","Illinois","Evanston",5,"Master of Science in Information Systems with Concentration in Analytics and Business Intelligence","M","School of Professional Studies","Online","11 units of credit (classes)","Not Available","http://sps.northwestern.edu/program-areas/advanced-graduate/analytics-business-intelligence/tuition.php",42.0584,-87.6737
"Northwestern University","Illinois","Evanston",5,"Master of Science in Predictive Analytics Online","M","School of Continuing Studies","Online","33 credit hours","Not Available","http://sps.northwestern.edu/program-areas/professional-development/business-analytics/index.php",42.0584,-87.6737
"University of Chicago","Illinois","Chicago",2,"Master of Science in Analytics","M","Graham School of Continuing Liberal and Professional Studies","Campus","33 credit hours","statistics","http://grahamschool.uchicago.edu/credit/master-science-analytics/index",41.7892,-87.6012
"University of Chicago","Illinois","Chicago",2,"Master of Science in Computational Analysis & Public Policy (CAPP)","M","Harris School of Public Policy & Computer Science Department","Campus","2 years","Not Available","https://grahamschool.uchicago.edu/credit/master-science-analytics/admissions",41.7892,-87.6012
"University of Illinois at Chicago","Illinois","Chicago",4,"Health Informatics (IBHE-Approved Certificate)","C","College of Applied Health Sciences","Online","24 hours minimum","Not Available","http://catalog.uic.edu/gcat/colleges-schools/applied-health-sciences/him-cert/",41.8727,-87.6511
"University of Illinois at Chicago","Illinois","Chicago",4,"Master of Science in Business Analytics","M","Liautaud Graduate School of Business","Campus","32 credits","math, statistics, computer science","http://catalog.uic.edu/gcat/colleges-schools/applied-health-sciences/him-cert/ibhe-cert/",41.8727,-87.6511
"University of Illinois at Chicago","Illinois","Chicago",4,"Master of Science in Health Informatics Research Track","M","Department of Biomedical and Health Information Sciences","Online","45 credit hours","Not Available","http://catalog.uic.edu/gcat/colleges-schools/applied-health-sciences/him-cert/ibhe-cert/",41.8727,-87.6511
"University of Illinois at Chicago","Illinois","Chicago",4,"Master of Science in Management Information Systems","M","Liautaud Graduate School of Business","Campus","32 credits","math, statistics, computer science","http://www.uic.edu/depts/oar/grad/tuition_grad.html",41.8727,-87.6511
"University of Illinois at Springfield","Illinois","Springfield",1,"Graduate Certificate in Business Intelligence","C","Department of Management Information Systems","Online","9 credits","Not Available","http://mis.uis.edu/BIcertificate.html",39.7299,-89.6149
"University of Illinois at Urbana-Champaign","Illinois","Champaign",3,"Master of Computer Science in Data Science","M","The Department of Statistics, iSchool, and Coursera","Online","32 Credits","computer science, math","http://cs.illinois.edu/prospective-students/graduate-students/mcs-ds-apply-now",40.1089,-88.2303
"University of Illinois at Urbana-Champaign","Illinois","Champaign",3,"Master of Science in Statistics: Analytics Concentration","M","Department of Statistics","Campus","30 credit hours","math, statistics","http://cs.illinois.edu/admissions/graduate/applications-process-requirements",40.1089,-88.2303
"University of Illinois at Urbana-Champaign","Illinois","Champaign",3,"MS in Information Management","M","School of Information Sciences","Campus or online","40 Credit Hours","Not Available","http://cs.illinois.edu/prospective-students/graduate-students/mcs-ds-apply-now/online-mcs-data-science-degree-requirements",40.1089,-88.2303
"University of St Francis","Illinois","Joliet",2,"Graduate Certificate in Business Analytics","C","College of Business and Health Administration","Online","12 credit hours","Not Available","http://www.stfrancis.edu/academics/college-of-business/graduate-certificate-business-analytics/",41.5333,-88.0964
"University of St Francis","Illinois","Joliet",2,"MBA with a concentration in Business Analytics","M","College of Business and Health Administration","Online","36-42 semester hours","Not Available","http://www.stfrancis.edu/academics/grad-admission-req/#.V6v0kJMrI2I",41.5333,-88.0964
"Purdue University","Indiana","West Lafayette",3,"MS in Business Analytics and Information Management","M","Krannert School of Management","Campus","36 credit hours / 11 months","Not Available","http://www.krannert.purdue.edu/masters/programs/business-analytics-and-information-management/home.php",40.4282,-86.9144
"Purdue University","Indiana","West Lafayette",3,"Certificate in Applied Statistics","C","Department of Statistics","Online","12 credit hours (4 courses)","Not Available","http://www.krannert.purdue.edu/masters/programs/business-analytics-and-information-management/admissions/home.php",40.4282,-86.9144
"Purdue University","Indiana","West Lafayette",3,"MBA, Specialization in Business Analytics","M","Krannert School of Management","Campus","2 years","Not Available","http://www.krannert.purdue.edu/masters/programs/business-analytics-and-information-management/curriculum/home.php",40.4282,-86.9144
"Saint Mary's College","Indiana","Notre Dame",1,"Online Master of Science in Data Science","M","Department of Mathematics and Computer Science","Online","2 years, 36 credits","Not Available","https://grad.saintmarys.edu/academic-programs/ms-data-science",41.7073,-86.257
"Indiana University Bloomington","Indiana","Bloomington",6,"Business Analytics Certificate Program","C","Kelley School of Business: Department of Operations and Decision Technologi","Campus","12 credit hours","Not Available","http://www.kelley.iu.edu/ODT/AboutUs/DecisionSciences/page11147.html",39.1664,-86.5269
"Indiana University Bloomington","Indiana","Bloomington",6,"Master of Science in Data Science","M","School of Informatics and Computing","Online, campus, or hybrid","30 credits","Not Available","http://kelley.iu.edu/EDP/certificates/business-analytics/business-analytics.html",39.1664,-86.5269
"Indiana University Bloomington","Indiana","Bloomington",6,"MBA (Major in Business Analytics)","M","Kelley School of Business","Campus","2 years","Not Available","http://kelley.iu.edu/EDP/Certificate/BACP/page20960.html",39.1664,-86.5269
"Indiana University Bloomington","Indiana","Bloomington",6,"Online Certificate in Data Science (Graduate)","C","School of Informatics and Computing","Online","1 semester","Not Available","http://kelley.iu.edu/onlineMBA/Admissions/FinancialAid/page36803.html",39.1664,-86.5269
"Indiana University Bloomington","Indiana","Bloomington",6,"Online MS in Business Analytics","M","Kelley School of Business","Online","30 credit hours","Not Available","http://www.soic.indiana.edu/graduate/degrees/data-science/ms-data-science/index.html",39.1664,-86.5269
"Indiana University Bloomington","Indiana","Bloomington",6,"Ph.D. Minor in Data Science","M","School of Informatics and Computing","Campus or Online","12 Credit Hours","Not Available","http://www.soic.indiana.edu/graduate/degrees/data-science/graduate/index.html",39.1664,-86.5269
"Indiana University-Purdue University-Indianapolis","Indiana","Indianapolis",2,"M.S. in Mathematics: Applied Statistics","M","Department of Mathematical Sciences","Campus","30+ credit hours","math","http://math.iupui.edu/graduate/degrees/ms/stats",39.7729,-86.1722
"Indiana University-Purdue University-Indianapolis","Indiana","Indianapolis",2,"Master of Science in Bioinformatics","M","Department of BioHealth Informatics","Campus","36 credit hours","computer science, biology","http://math.iupui.edu/graduate/admissions",39.7729,-86.1722
"University of Notre Dame","Indiana","Notre Dame",2,"Master of Science in Applied and Computational Mathematics and Statistics with a specialty in Applied Statistics","M","Department of Applied and Computational Mathematics and Statistics (ACMS)","Campus","30 credits","technical bachelor's degree","http://acms.nd.edu/graduate-programs/professional-master-s-programs/master-of-science-in-applied-statistics/",41.7031,-86.239
"University of Notre Dame","Indiana","Notre Dame",2,"Master of Science in Business Analytics","M","Mendoza College of Business","Campus","30 credit hours","Not Available","http://acms.nd.edu/graduate-programs/professional-master-s-programs/master-of-science-in-applied-statistics/admissions/",41.7031,-86.239
"Valparaiso University","Indiana","Valparaiso",3,"Certificate in Applied Econometric and Data Science Foundations using SAS","C","Department of Economics","Campus","4 courses","Not Available","http://www.valpo.edu/grad/Program/programs/SAS.php",41.4632,-87.0459
"Valparaiso University","Indiana","Valparaiso",3,"M.S. in Analytics and Modeling","M","Mathematics and Computer Science departments","Campus","36 credits","Not Available","http://www.valpo.edu/grad/prospective/appprocess.php",41.4632,-87.0459
"Valparaiso University","Indiana","Valparaiso",3,"MBA with Concentration and Certificate in Business Intelligence","C","Graduate School","Campus","28 courses","Not Available","http://www.valpo.edu/grad/Program/programs/SAS.php",41.4632,-87.0459
"Loras College","Iowa","Dubuque",1,"Executive MBA in Business Analytics","M","Loras College","Campus","36 credit hours","Not Available","http://www.loras.edu/academics/graduate/mba-business-analytics/",42.5041,-90.6802
"Northwestern College","Iowa","Orange City",1,"Analytics Certificate","C","Adult and Graduate Studies","Online","18 credits","math, statistics, computer science","https://online.nwciowa.edu/analytics/video",42.999,-96.0584
"University of Iowa","Iowa","Iowa City",1,"Master of Science in Business Analytics","M","Henry B. Tippie College of Business","Campus","30 Credits","Not Available","http://tippie.uiowa.edu/business-analytics/",41.6607,-91.5357
"Emporia State University","Kansas","Emporia",1,"MS Informatics","M","School of Library and Information Management","Online","36 credit hours","Not Available","http://www.emporia.edu/info/degrees-courses/grad/informatics",38.4138,-96.1802
"Kansas State University","Kansas","Manhattan",1,"Applied Statistics Certificate","C","K-State Graduate School","Online","15 credit hours","Not Available","http://global.k-state.edu/artsci/applied-stats/",39.1886,-96.5811
"University of Kansas","Kansas","Lawrence",2,"Certificate in Business Analytics","C","School of Business","Campus","12 credits","Not Available","http://www.business.ku.edu/business-analytics",38.9574,-95.2459
"University of Kansas","Kansas","Lawrence",2,"MBA for Working Professionals with Business Analytics Advanced Core","M","School of Business","Campus","42 credits","Not Available","http://www.business.ku.edu/business-analytics",38.9574,-95.2459
"University of Louisville","Kentucky","Louisville",1,"Certificate in Data Mining","C","Department of Computer Engineering & Computer Science","Online or Campus","12 months","technical bachelor's degree","http://louisville.edu/speed/computer/graduate-studies/dataMining",38.2158,-85.7588
"Louisiana State University","Louisiana","Baton Rouge",1,"Master of Science in Analytics","M","Department of Information Systems & Decision Sciences","Campus","36 credit hours","Not Available","http://businessanalytics.lsu.edu/",30.5521,-91.1967
"University of Maine at Farmington","Maine","Farmington",1,"Certificate in Applied Statistics","C","Department of Mathematics and Statistics","Campus","15 credits","math, statistics","http://usm.maine.edu/catalogs/2013-14/certificate-applied-statistics",44.668,-70.1475
"University of Maine","Maine","Orono",2,"Graduate Certificate in Information Systems","C","School of Computing and Information Science","Online","15 Credits","computer science, math","http://gradcatalog.umaine.edu/preview_program.php?catoid=30&poid=3593&returnto=522",44.896,-68.6738
"University of Maine","Maine","Orono",2,"Master of Science in Information Systems","M","School of Computing and Information Science","Online","30 Credits","computer science, math","http://gradcatalog.umaine.edu/preview_program.php?catoid=30&poid=3593&returnto=522",44.896,-68.6738
"Johns Hopkins University","Maryland","Baltimore",5,"Master of Science in Information Systems","M","Carey Business School","Campus","36 units","Not Available","http://carey.jhu.edu/academics/master-of-science/ms-in-information-systems/",39.3284,-76.6208
"Johns Hopkins University","Maryland","Baltimore",5,"Online Master of Science in Applied Economics","M","Advanced Academic Programs","Online","10 courses","Not Available","http://carey.jhu.edu/academics/master-of-science/ms-in-information-systems/",39.3284,-76.6208
"Johns Hopkins University","Maryland","Baltimore",5,"Online Master of Science in Government Analytics","M","Advanced Academic Programs","Campus, Online","12 courses","Not Available","http://carey.jhu.edu/academics/master-of-science/ms-in-information-systems/",39.3284,-76.6208
"Johns Hopkins University","Maryland","Baltimore",5,"Online Post-Bachelor's Certificate in Government Analytics","C","Advanced Academic Programs","Online","5 courses","Not Available","http://carey.jhu.edu/academics/master-of-science/ms-in-information-systems/",39.3284,-76.6208
